Season,Date,Time,Home,Away,Result
2020/2021,06/12/2020,14:00,Piast Gliwice,Zaglebie,D
2020/2021,06/12/2020,16:30,Lech Poznan,Podbeskidzie,H
2020/2021,07/12/2020,17:00,Pogon Szczecin,Stal Mielec,H
2020/2021,07/12/2020,19:30,Wisla Plock,Gornik Z.,A
2020/2021,11/12/2020,17:00,Podbeskidzie,Piast Gliwice,A
2020/2021,11/12/2020,19:30,Zaglebie,Slask Wroclaw,H
2020/2021,12/12/2020,14:00,Warta Poznan,Pogon Szczecin,A
2020/2021,12/12/2020,16:30,Gornik Z.,Cracovia,A
2020/2021,12/12/2020,19:00,Wisla,Legia,A
2020/2021,13/12/2020,14:00,Stal Mielec,Lech Poznan,D
2020/2021,13/12/2020,16:30,Rakow,Jagiellonia,H
2020/2021,14/12/2020,17:00,Lechia Gdansk,Wisla Plock,A
2020/2021,16/12/2020,19:30,Lech Poznan,Pogon Szczecin,A
2020/2021,17/12/2020,17:00,Slask Wroclaw,Warta Poznan,H
2020/2021,18/12/2020,17:00,Wisla Plock,Podbeskidzie,H
2020/2021,18/12/2020,19:30,Legia,Stal Mielec,A
2020/2021,19/12/2020,14:00,Pogon Szczecin,Zaglebie,H
2020/2021,19/12/2020,16:30,Cracovia,Lechia Gdansk,A
2020/2021,19/12/2020,19:00,Lech Poznan,Wisla,A
2020/2021,20/12/2020,14:00,Piast Gliwice,Rakow,D
2020/2021,20/12/2020,16:30,Jagiellonia,Gornik Z.,H
2020/2021,29/01/2021,17:00,Zaglebie,Wisla Plock,A
2020/2021,29/01/2021,19:30,Rakow,Pogon Szczecin,A
2020/2021,30/01/2021,14:00,Warta Poznan,Cracovia,H
2020/2021,30/01/2021,16:30,Lechia Gdansk,Jagiellonia,A
2020/2021,30/01/2021,19:00,Gornik Z.,Lech Poznan,D
2020/2021,31/01/2021,14:00,Wisla,Piast Gliwice,A
2020/2021,31/01/2021,16:30,Podbeskidzie,Legia,H
2020/2021,01/02/2021,17:00,Stal Mielec,Slask Wroclaw,D
2020/2021,05/02/2021,17:00,Lechia Gdansk,Warta Poznan,D
2020/2021,05/02/2021,19:30,Lech Poznan,Zaglebie,D
2020/2021,06/02/2021,14:00,Piast Gliwice,Slask Wroclaw,H
2020/2021,06/02/2021,16:30,Pogon Szczecin,Cracovia,H
2020/2021,06/02/2021,19:00,Legia,Rakow,H
2020/2021,07/02/2021,14:00,Podbeskidzie,Gornik Z.,H
2020/2021,07/02/2021,16:30,Wisla,Jagiellonia,H
2020/2021,12/02/2021,19:30,Slask Wroclaw,Wisla,D
2020/2021,13/02/2021,14:00,Cracovia,Podbeskidzie,D
2020/2021,13/02/2021,16:30,Pogon Szczecin,Piast Gliwice,D
2020/2021,13/02/2021,19:00,Rakow,Lechia Gdansk,A
2020/2021,14/02/2021,14:00,Wisla Plock,Lech Poznan,H
2020/2021,14/02/2021,16:30,Jagiellonia,Legia,D
2020/2021,15/02/2021,17:00,Warta Poznan,Zaglebie,H
2020/2021,15/02/2021,19:30,Gornik Z.,Stal Mielec,H
2020/2021,19/02/2021,17:00,Stal Mielec,Cracovia,D
2020/2021,19/02/2021,19:30,Wisla,Pogon Szczecin,H
2020/2021,20/02/2021,14:00,Legia,Wisla Plock,H
2020/2021,20/02/2021,16:30,Podbeskidzie,Jagiellonia,D
2020/2021,20/02/2021,19:00,Lechia Gdansk,Gornik Z.,H
2020/2021,21/02/2021,14:00,Zaglebie,Rakow,A
2020/2021,21/02/2021,16:30,Lech Poznan,Slask Wroclaw,H
2020/2021,22/02/2021,17:00,Piast Gliwice,Warta Poznan,A
2020/2021,26/02/2021,17:00,Rakow,Podbeskidzie,H
2020/2021,26/02/2021,19:30,Warta Poznan,Lech Poznan,A
2020/2021,27/02/2021,14:00,Stal Mielec,Lechia Gdansk,A
2020/2021,27/02/2021,16:30,Jagiellonia,Piast Gliwice,A
2020/2021,27/02/2021,19:00,Gornik Z.,Legia,A
2020/2021,28/02/2021,11:30,Wisla Plock,Wisla,A
2020/2021,28/02/2021,14:00,Cracovia,Zaglebie,A
2020/2021,28/02/2021,16:30,Slask Wroclaw,Pogon Szczecin,H
2020/2021,04/03/2021,19:30,Stal Mielec,Wisla Plock,D
2020/2021,05/03/2021,19:30,Wisla,Gornik Z.,D
2020/2021,06/03/2021,14:00,Podbeskidzie,Lechia Gdansk,D
2020/2021,06/03/2021,16:30,Zaglebie,Jagiellonia,H
2020/2021,06/03/2021,19:00,Rakow,Cracovia,D
2020/2021,07/03/2021,11:30,Piast Gliwice,Stal Mielec,H
2020/2021,07/03/2021,14:00,Pogon Szczecin,Lech Poznan,A
2020/2021,07/03/2021,16:30,Slask Wroclaw,Legia,A
2020/2021,08/03/2021,17:00,Warta Poznan,Wisla Plock,H
2020/2021,12/03/2021,17:00,Cracovia,Slask Wroclaw,D
2020/2021,12/03/2021,19:30,Jagiellonia,Pogon Szczecin,A
2020/2021,13/03/2021,14:00,Wisla Plock,Rakow,D
2020/2021,13/03/2021,16:30,Lechia Gdansk,Wisla,H
2020/2021,13/03/2021,19:00,Legia,Warta Poznan,H
2020/2021,14/03/2021,14:00,Gornik Z.,Zaglebie,H
2020/2021,14/03/2021,16:30,Lech Poznan,Piast Gliwice,D
2020/2021,15/03/2021,17:00,Stal Mielec,Podbeskidzie,H
2020/2021,19/03/2021,17:00,Piast Gliwice,Cracovia,H
2020/2021,19/03/2021,19:30,Pogon Szczecin,Lechia Gdansk,H
2020/2021,20/03/2021,14:00,Slask Wroclaw,Wisla Plock,D
2020/2021,20/03/2021,16:30,Rakow,Gornik Z.,D
2020/2021,20/03/2021,19:00,Lech Poznan,Jagiellonia,A
2020/2021,21/03/2021,11:30,Warta Poznan,Podbeskidzie,H
2020/2021,21/03/2021,14:00,Wisla,Stal Mielec,H
2020/2021,21/03/2021,16:30,Zaglebie,Legia,A
2020/2021,03/04/2021,11:30,Wisla Plock,Piast Gliwice,A
2020/2021,03/04/2021,16:30,Legia,Pogon Szczecin,H
2020/2021,03/04/2021,19:00,Cracovia,Lech Poznan,H
2020/2021,05/04/2021,11:30,Gornik Z.,Warta Poznan,A
2020/2021,05/04/2021,14:00,Podbeskidzie,Wisla,H
2020/2021,05/04/2021,16:30,Jagiellonia,Slask Wroclaw,A
2020/2021,05/04/2021,19:00,Lechia Gdansk,Zaglebie,H
2020/2021,09/04/2021,17:00,Jagiellonia,Cracovia,H
2020/2021,09/04/2021,19:30,Wisla,Rakow,A
2020/2021,10/04/2021,14:00,Pogon Szczecin,Wisla Plock,H
2020/2021,10/04/2021,16:30,Warta Poznan,Stal Mielec,D
2020/2021,10/04/2021,19:00,Slask Wroclaw,Lechia Gdansk,D
2020/2021,11/04/2021,14:00,Zaglebie,Podbeskidzie,H
2020/2021,11/04/2021,16:30,Lech Poznan,Legia,D
2020/2021,12/04/2021,17:00,Piast Gliwice,Gornik Z.,H
2020/2021,16/04/2021,17:00,Podbeskidzie,Pogon Szczecin,A
2020/2021,16/04/2021,19:30,Gornik Z.,Slask Wroclaw,D
2020/2021,17/04/2021,14:00,Lechia Gdansk,Piast Gliwice,D
2020/2021,17/04/2021,16:30,Rakow,Lech Poznan,H
2020/2021,17/04/2021,19:00,Wisla,Warta Poznan,A
2020/2021,18/04/2021,11:30,Stal Mielec,Zaglebie,A
2020/2021,18/04/2021,14:00,Wisla Plock,Jagiellonia,D
2020/2021,18/04/2021,16:30,Legia,Cracovia,D
2020/2021,20/04/2021,17:00,Pogon Szczecin,Gornik Z.,H
2020/2021,20/04/2021,17:00,Warta Poznan,Rakow,A
2020/2021,20/04/2021,19:30,Lech Poznan,Lechia Gdansk,H
2020/2021,20/04/2021,19:30,Slask Wroclaw,Podbeskidzie,H
2020/2021,21/04/2021,17:00,Jagiellonia,Stal Mielec,D
2020/2021,21/04/2021,17:00,Zaglebie,Wisla,H
2020/2021,21/04/2021,19:30,Cracovia,Wisla Plock,H
2020/2021,21/04/2021,19:30,Piast Gliwice,Legia,A
2020/2021,23/04/2021,17:00,Rakow,Slask Wroclaw,H
2020/2021,23/04/2021,19:30,Podbeskidzie,Lech Poznan,H
2020/2021,24/04/2021,14:00,Gornik Z.,Wisla Plock,A
2020/2021,24/04/2021,16:30,Zaglebie,Piast Gliwice,D
2020/2021,24/04/2021,19:00,Wisla,Cracovia,D
2020/2021,25/04/2021,11:30,Warta Poznan,Jagiellonia,H
2020/2021,25/04/2021,14:00,Stal Mielec,Pogon Szczecin,H
2020/2021,25/04/2021,16:30,Lechia Gdansk,Legia,A
2020/2021,28/04/2021,18:00,Jagiellonia,Rakow,D
2020/2021,30/04/2021,17:00,Wisla Plock,Lechia Gdansk,A
2020/2021,30/04/2021,19:30,Slask Wroclaw,Zaglebie,D
2020/2021,01/05/2021,14:00,Legia,Wisla,D
2020/2021,01/05/2021,16:30,Pogon Szczecin,Warta Poznan,D
2020/2021,01/05/2021,19:00,Lech Poznan,Stal Mielec,A
2020/2021,03/05/2021,14:00,Piast Gliwice,Podbeskidzie,H
2020/2021,03/05/2021,16:30,Cracovia,Gornik Z.,H
2020/2021,05/05/2021,18:00,Stal Mielec,Rakow,A
2020/2021,07/05/2021,17:00,Gornik Z.,Jagiellonia,H
2020/2021,07/05/2021,19:30,Zaglebie,Pogon Szczecin,D
2020/2021,08/05/2021,14:00,Podbeskidzie,Wisla Plock,D
2020/2021,08/05/2021,16:30,Lechia Gdansk,Cracovia,D
2020/2021,08/05/2021,19:00,Wisla,Lech Poznan,A
2020/2021,09/05/2021,14:00,Warta Poznan,Slask Wroclaw,A
2020/2021,09/05/2021,16:30,Stal Mielec,Legia,D
2020/2021,10/05/2021,17:00,Rakow,Piast Gliwice,H
2020/2021,16/05/2021,16:30,Cracovia,Warta Poznan,A
2020/2021,16/05/2021,16:30,Jagiellonia,Lechia Gdansk,H
2020/2021,16/05/2021,16:30,Lech Poznan,Gornik Z.,D
2020/2021,16/05/2021,16:30,Legia,Podbeskidzie,H
2020/2021,16/05/2021,16:30,Piast Gliwice,Wisla,A
2020/2021,16/05/2021,16:30,Pogon Szczecin,Rakow,A
2020/2021,16/05/2021,16:30,Slask Wroclaw,Stal Mielec,D
2020/2021,16/05/2021,16:30,Wisla Plock,Zaglebie,H
2021/2022,23/07/2021,17:00,Termalica B-B.,Stal Mielec,D
2021/2022,23/07/2021,19:30,Lech Poznan,Radomiak Radom,D
2021/2022,24/07/2021,14:00,Leczna,Cracovia,D
2021/2022,24/07/2021,16:30,Jagiellonia,Lechia Gdansk,D
2021/2022,24/07/2021,19:00,Legia,Wisla Plock,H
2021/2022,25/07/2021,14:00,Piast Gliwice,Rakow,A
2021/2022,25/07/2021,16:30,Slask Wroclaw,Warta Poznan,D
2021/2022,25/07/2021,19:00,Pogon Szczecin,Gornik Z.,H
2021/2022,26/07/2021,17:00,Wisla,Zaglebie,H
2021/2022,30/07/2021,17:00,Zaglebie,Leczna,H
2021/2022,30/07/2021,19:30,Gornik Z.,Lech Poznan,A
2021/2022,31/07/2021,14:00,Stal Mielec,Piast Gliwice,A
2021/2022,31/07/2021,16:30,Termalica B-B.,Wisla,D
2021/2022,31/07/2021,19:00,Radomiak Radom,Legia,H
2021/2022,01/08/2021,14:00,Warta Poznan,Pogon Szczecin,D
2021/2022,01/08/2021,16:30,Cracovia,Slask Wroclaw,A
2021/2022,01/08/2021,19:00,Jagiellonia,Rakow,H
2021/2022,02/08/2021,17:00,Lechia Gdansk,Wisla Plock,H
2021/2022,06/08/2021,17:00,Leczna,Warta Poznan,A
2021/2022,06/08/2021,19:30,Lech Poznan,Cracovia,H
2021/2022,07/08/2021,14:00,Jagiellonia,Termalica B-B.,H
2021/2022,07/08/2021,16:30,Gornik Z.,Stal Mielec,H
2021/2022,08/08/2021,14:00,Pogon Szczecin,Piast Gliwice,H
2021/2022,08/08/2021,16:30,Wisla,Rakow,A
2021/2022,08/08/2021,19:00,Slask Wroclaw,Lechia Gdansk,D
2021/2022,09/08/2021,17:00,Wisla Plock,Radomiak Radom,H
2021/2022,13/08/2021,17:00,Termalica B-B.,Lech Poznan,A
2021/2022,13/08/2021,19:30,Stal Mielec,Wisla,H
2021/2022,14/08/2021,14:00,Piast Gliwice,Wisla Plock,H
2021/2022,14/08/2021,16:30,Lechia Gdansk,Cracovia,H
2021/2022,14/08/2021,19:00,Warta Poznan,Legia,A
2021/2022,15/08/2021,16:30,Slask Wroclaw,Leczna,D
2021/2022,15/08/2021,19:00,Zaglebie,Pogon Szczecin,H
2021/2022,16/08/2021,17:00,Jagiellonia,Gornik Z.,A
2021/2022,20/08/2021,17:00,Wisla Plock,Zaglebie,H
2021/2022,20/08/2021,19:30,Radomiak Radom,Warta Poznan,H
2021/2022,21/08/2021,14:00,Pogon Szczecin,Stal Mielec,H
2021/2022,21/08/2021,16:30,Cracovia,Jagiellonia,H
2021/2022,21/08/2021,19:00,Leczna,Wisla,A
2021/2022,22/08/2021,14:00,Piast Gliwice,Slask Wroclaw,D
2021/2022,22/08/2021,16:30,Lech Poznan,Lechia Gdansk,H
2021/2022,27/08/2021,17:00,Stal Mielec,Leczna,H
2021/2022,27/08/2021,19:30,Warta Poznan,Jagiellonia,D
2021/2022,28/08/2021,11:30,Termalica B-B.,Cracovia,A
2021/2022,28/08/2021,14:00,Lechia Gdansk,Radomiak Radom,D
2021/2022,28/08/2021,16:30,Lech Poznan,Pogon Szczecin,D
2021/2022,28/08/2021,19:00,Gornik Z.,Piast Gliwice,A
2021/2022,29/08/2021,11:30,Wisla Plock,Rakow,D
2021/2022,29/08/2021,14:00,Zaglebie,Slask Wroclaw,A
2021/2022,29/08/2021,16:30,Wisla,Legia,H
2021/2022,11/09/2021,11:30,Warta Poznan,Termalica B-B.,D
2021/2022,11/09/2021,14:00,Cracovia,Gornik Z.,D
2021/2022,11/09/2021,16:30,Jagiellonia,Stal Mielec,D
2021/2022,11/09/2021,19:00,Slask Wroclaw,Legia,H
2021/2022,12/09/2021,11:30,Piast Gliwice,Zaglebie,A
2021/2022,12/09/2021,14:00,Wisla,Lechia Gdansk,D
2021/2022,12/09/2021,16:30,Rakow,Lech Poznan,D
2021/2022,13/09/2021,17:00,Leczna,Wisla Plock,H
2021/2022,13/09/2021,19:30,Radomiak Radom,Pogon Szczecin,D
2021/2022,17/09/2021,17:00,Zaglebie,Termalica B-B.,H
2021/2022,17/09/2021,19:30,Lech Poznan,Wisla,H
2021/2022,18/09/2021,11:30,Wisla Plock,Jagiellonia,H
2021/2022,18/09/2021,14:00,Pogon Szczecin,Cracovia,D
2021/2022,18/09/2021,16:30,Radomiak Radom,Slask Wroclaw,D
2021/2022,18/09/2021,19:00,Lechia Gdansk,Piast Gliwice,H
2021/2022,19/09/2021,11:30,Stal Mielec,Rakow,A
2021/2022,19/09/2021,14:00,Gornik Z.,Warta Poznan,H
2021/2022,19/09/2021,16:30,Legia,Leczna,H
2021/2022,24/09/2021,17:00,Leczna,Lechia Gdansk,A
2021/2022,24/09/2021,19:30,Jagiellonia,Lech Poznan,H
2021/2022,25/09/2021,14:00,Stal Mielec,Radomiak Radom,H
2021/2022,25/09/2021,16:30,Warta Poznan,Zaglebie,A
2021/2022,25/09/2021,19:00,Legia,Rakow,A
2021/2022,26/09/2021,11:30,Termalica B-B.,Gornik Z.,H
2021/2022,26/09/2021,14:00,Slask Wroclaw,Wisla Plock,H
2021/2022,26/09/2021,16:30,Wisla,Pogon Szczecin,A
2021/2022,27/09/2021,17:00,Piast Gliwice,Cracovia,A
2021/2022,29/09/2021,16:00,Rakow,Radomiak Radom,D
2021/2022,01/10/2021,17:00,Zaglebie,Jagiellonia,A
2021/2022,01/10/2021,19:30,Piast Gliwice,Wisla,H
2021/2022,02/10/2021,11:30,Radomiak Radom,Termalica B-B.,D
2021/2022,02/10/2021,14:00,Cracovia,Stal Mielec,D
2021/2022,02/10/2021,16:30,Lech Poznan,Slask Wroclaw,H
2021/2022,02/10/2021,19:00,Gornik Z.,Wisla Plock,H
2021/2022,03/10/2021,11:30,Rakow,Warta Poznan,H
2021/2022,03/10/2021,14:00,Pogon Szczecin,Leczna,H
2021/2022,03/10/2021,16:30,Lechia Gdansk,Legia,H
2021/2022,16/10/2021,11:30,Leczna,Piast Gliwice,D
2021/2022,16/10/2021,14:00,Termalica B-B.,Lechia Gdansk,A
2021/2022,16/10/2021,16:30,Gornik Z.,Wisla,A
2021/2022,16/10/2021,19:00,Slask Wroclaw,Rakow,A
2021/2022,17/10/2021,11:30,Wisla Plock,Pogon Szczecin,H
2021/2022,17/10/2021,14:00,Cracovia,Warta Poznan,H
2021/2022,17/10/2021,16:30,Legia,Lech Poznan,A
2021/2022,18/10/2021,17:00,Stal Mielec,Zaglebie,H
2021/2022,18/10/2021,19:30,Jagiellonia,Radomiak Radom,D
2021/2022,22/10/2021,17:00,Radomiak Radom,Leczna,H
2021/2022,22/10/2021,19:30,Lech Poznan,Wisla Plock,H
2021/2022,23/10/2021,11:30,Rakow,Termalica B-B.,H
2021/2022,23/10/2021,14:00,Lechia Gdansk,Gornik Z.,D
2021/2022,23/10/2021,16:30,Pogon Szczecin,Jagiellonia,H
2021/2022,23/10/2021,19:00,Wisla,Slask Wroclaw,A
2021/2022,24/10/2021,14:00,Zaglebie,Cracovia,D
2021/2022,24/10/2021,16:30,Warta Poznan,Stal Mielec,D
2021/2022,24/10/2021,19:00,Piast Gliwice,Legia,H
2021/2022,29/10/2021,17:00,Cracovia,Radomiak Radom,A
2021/2022,29/10/2021,19:30,Stal Mielec,Lech Poznan,D
2021/2022,30/10/2021,11:30,Termalica B-B.,Slask Wroclaw,H
2021/2022,30/10/2021,14:00,Warta Poznan,Lechia Gdansk,A
2021/2022,30/10/2021,16:30,Gornik Z.,Zaglebie,D
2021/2022,30/10/2021,19:00,Jagiellonia,Piast Gliwice,D
2021/2022,31/10/2021,11:30,Wisla Plock,Wisla,H
2021/2022,31/10/2021,14:00,Leczna,Rakow,D
2021/2022,31/10/2021,16:30,Legia,Pogon Szczecin,A
2021/2022,05/11/2021,17:00,Wisla Plock,Termalica B-B.,D
2021/2022,05/11/2021,19:30,Slask Wroclaw,Jagiellonia,D
2021/2022,06/11/2021,11:30,Piast Gliwice,Warta Poznan,A
2021/2022,06/11/2021,14:00,Radomiak Radom,Gornik Z.,H
2021/2022,06/11/2021,16:30,Lechia Gdansk,Zaglebie,H
2021/2022,06/11/2021,19:00,Leczna,Lech Poznan,D
2021/2022,07/11/2021,14:00,Rakow,Pogon Szczecin,D
2021/2022,07/11/2021,16:30,Legia,Stal Mielec,A
2021/2022,07/11/2021,19:00,Wisla,Cracovia,H
2021/2022,20/11/2021,11:30,Warta Poznan,Wisla Plock,A
2021/2022,20/11/2021,14:00,Jagiellonia,Wisla,H
2021/2022,20/11/2021,16:30,Stal Mielec,Lechia Gdansk,D
2021/2022,20/11/2021,19:00,Lech Poznan,Piast Gliwice,H
2021/2022,21/11/2021,11:30,Termalica B-B.,Leczna,D
2021/2022,21/11/2021,14:00,Pogon Szczecin,Slask Wroclaw,H
2021/2022,21/11/2021,16:30,Gornik Z.,Legia,H
2021/2022,22/11/2021,17:00,Zaglebie,Radomiak Radom,A
2021/2022,22/11/2021,19:30,Cracovia,Rakow,H
2021/2022,26/11/2021,17:00,Piast Gliwice,Termalica B-B.,H
2021/2022,26/11/2021,19:30,Wisla,Radomiak Radom,A
2021/2022,27/11/2021,11:30,Leczna,Gornik Z.,A
2021/2022,27/11/2021,14:00,Slask Wroclaw,Stal Mielec,H
2021/2022,27/11/2021,16:30,Pogon Szczecin,Lechia Gdansk,H
2021/2022,27/11/2021,19:00,Rakow,Zaglebie,H
2021/2022,28/11/2021,11:30,Wisla Plock,Cracovia,H
2021/2022,28/11/2021,14:00,Lech Poznan,Warta Poznan,H
2021/2022,28/11/2021,16:30,Legia,Jagiellonia,H
2021/2022,03/12/2021,17:00,Stal Mielec,Wisla Plock,H
2021/2022,03/12/2021,19:30,Gornik Z.,Slask Wroclaw,H
2021/2022,04/12/2021,14:00,Termalica B-B.,Pogon Szczecin,A
2021/2022,04/12/2021,16:30,Jagiellonia,Leczna,A
2021/2022,04/12/2021,19:00,Lechia Gdansk,Rakow,H
2021/2022,05/12/2021,16:30,Zaglebie,Lech Poznan,A
2021/2022,05/12/2021,19:00,Cracovia,Legia,H
2021/2022,06/12/2021,17:00,Warta Poznan,Wisla,D
2021/2022,10/12/2021,17:00,Stal Mielec,Termalica B-B.,H
2021/2022,10/12/2021,19:30,Rakow,Piast Gliwice,H
2021/2022,11/12/2021,14:00,Radomiak Radom,Lech Poznan,H
2021/2022,11/12/2021,16:30,Zaglebie,Wisla,H
2021/2022,11/12/2021,19:00,Lechia Gdansk,Jagiellonia,A
2021/2022,12/12/2021,11:30,Cracovia,Leczna,A
2021/2022,12/12/2021,14:00,Wisla Plock,Legia,H
2021/2022,12/12/2021,16:30,Gornik Z.,Pogon Szczecin,D
2021/2022,13/12/2021,17:00,Warta Poznan,Slask Wroclaw,H
2021/2022,14/12/2021,17:45,Radomiak Radom,Piast Gliwice,D
2021/2022,15/12/2021,17:00,Rakow,Gornik Z.,A
2021/2022,15/12/2021,19:30,Legia,Zaglebie,H
2021/2022,17/12/2021,17:00,Wisla,Termalica B-B.,H
2021/2022,17/12/2021,19:30,Wisla Plock,Lechia Gdansk,H
2021/2022,18/12/2021,11:30,Piast Gliwice,Stal Mielec,D
2021/2022,18/12/2021,14:00,Pogon Szczecin,Warta Poznan,D
2021/2022,18/12/2021,16:30,Slask Wroclaw,Cracovia,A
2021/2022,18/12/2021,19:00,Rakow,Jagiellonia,H
2021/2022,19/12/2021,11:30,Leczna,Zaglebie,H
2021/2022,19/12/2021,14:00,Lech Poznan,Gornik Z.,H
2021/2022,19/12/2021,16:30,Legia,Radomiak Radom,A
2021/2022,04/02/2022,17:00,Termalica B-B.,Jagiellonia,H
2021/2022,04/02/2022,19:30,Zaglebie,Legia,A
2021/2022,05/02/2022,14:00,Stal Mielec,Gornik Z.,A
2021/2022,05/02/2022,16:30,Piast Gliwice,Pogon Szczecin,A
2021/2022,05/02/2022,19:00,Lechia Gdansk,Slask Wroclaw,H
2021/2022,06/02/2022,11:30,Warta Poznan,Leczna,D
2021/2022,06/02/2022,14:00,Rakow,Wisla,H
2021/2022,06/02/2022,16:30,Cracovia,Lech Poznan,D
2021/2022,07/02/2022,17:00,Radomiak Radom,Wisla Plock,D
2021/2022,11/02/2022,17:00,Leczna,Slask Wroclaw,D
2021/2022,11/02/2022,19:30,Cracovia,Lechia Gdansk,H
2021/2022,12/02/2022,14:00,Wisla,Stal Mielec,A
2021/2022,12/02/2022,16:30,Radomiak Radom,Rakow,A
2021/2022,12/02/2022,19:00,Lech Poznan,Termalica B-B.,H
2021/2022,13/02/2022,11:30,Wisla Plock,Piast Gliwice,A
2021/2022,13/02/2022,14:00,Pogon Szczecin,Zaglebie,H
2021/2022,13/02/2022,16:30,Legia,Warta Poznan,A
2021/2022,14/02/2022,17:00,Gornik Z.,Jagiellonia,A
2021/2022,18/02/2022,17:00,Zaglebie,Wisla Plock,H
2021/2022,18/02/2022,19:30,Stal Mielec,Pogon Szczecin,A
2021/2022,19/02/2022,14:00,Jagiellonia,Cracovia,D
2021/2022,19/02/2022,16:30,Slask Wroclaw,Piast Gliwice,A
2021/2022,19/02/2022,19:00,Termalica B-B.,Legia,D
2021/2022,20/02/2022,11:30,Warta Poznan,Radomiak Radom,H
2021/2022,20/02/2022,14:00,Gornik Z.,Rakow,D
2021/2022,20/02/2022,16:30,Lechia Gdansk,Lech Poznan,H
2021/2022,21/02/2022,17:00,Wisla,Leczna,D
2021/2022,25/02/2022,17:00,Rakow,Wisla Plock,H
2021/2022,25/02/2022,19:30,Legia,Wisla,H
2021/2022,26/02/2022,14:00,Pogon Szczecin,Lech Poznan,A
2021/2022,26/02/2022,16:30,Leczna,Stal Mielec,H
2021/2022,26/02/2022,19:00,Piast Gliwice,Gornik Z.,D
2021/2022,27/02/2022,11:30,Jagiellonia,Warta Poznan,D
2021/2022,27/02/2022,14:00,Radomiak Radom,Lechia Gdansk,H
2021/2022,27/02/2022,16:30,Slask Wroclaw,Zaglebie,D
2021/2022,28/02/2022,17:00,Cracovia,Termalica B-B.,A
2021/2022,04/03/2022,17:00,Stal Mielec,Jagiellonia,D
2021/2022,04/03/2022,19:30,Pogon Szczecin,Radomiak Radom,H
2021/2022,05/03/2022,14:00,Termalica B-B.,Warta Poznan,H
2021/2022,05/03/2022,16:30,Zaglebie,Piast Gliwice,D
2021/2022,05/03/2022,19:00,Lechia Gdansk,Wisla,D
2021/2022,06/03/2022,11:30,Wisla Plock,Leczna,H
2021/2022,06/03/2022,14:00,Gornik Z.,Cracovia,H
2021/2022,06/03/2022,16:30,Lech Poznan,Rakow,A
2021/2022,07/03/2022,18:00,Legia,Slask Wroclaw,H
2021/2022,11/03/2022,17:00,Termalica B-B.,Zaglebie,A
2021/2022,11/03/2022,19:30,Leczna,Legia,A
2021/2022,12/03/2022,14:00,Warta Poznan,Gornik Z.,H
2021/2022,12/03/2022,16:30,Piast Gliwice,Lechia Gdansk,H
2021/2022,12/03/2022,19:00,Cracovia,Pogon Szczecin,D
2021/2022,13/03/2022,11:30,Jagiellonia,Wisla Plock,A
2021/2022,13/03/2022,14:00,Slask Wroclaw,Radomiak Radom,D
2021/2022,13/03/2022,16:30,Wisla,Lech Poznan,D
2021/2022,14/03/2022,17:00,Rakow,Stal Mielec,H
2021/2022,15/03/2022,17:45,Legia,Termalica B-B.,H
2021/2022,18/03/2022,17:00,Zaglebie,Warta Poznan,A
2021/2022,18/03/2022,19:30,Pogon Szczecin,Wisla,H
2021/2022,19/03/2022,11:30,Wisla Plock,Slask Wroclaw,A
2021/2022,19/03/2022,14:00,Rakow,Legia,D
2021/2022,19/03/2022,16:30,Lechia Gdansk,Leczna,H
2021/2022,19/03/2022,19:00,Lech Poznan,Jagiellonia,H
2021/2022,20/03/2022,11:30,Radomiak Radom,Stal Mielec,D
2021/2022,20/03/2022,14:00,Cracovia,Piast Gliwice,A
2021/2022,20/03/2022,16:30,Gornik Z.,Termalica B-B.,D
2021/2022,01/04/2022,17:00,Stal Mielec,Cracovia,A
2021/2022,01/04/2022,19:30,Slask Wroclaw,Lech Poznan,A
2021/2022,02/04/2022,14:00,Warta Poznan,Rakow,A
2021/2022,02/04/2022,16:30,Leczna,Pogon Szczecin,A
2021/2022,02/04/2022,19:00,Legia,Lechia Gdansk,H
2021/2022,03/04/2022,11:30,Termalica B-B.,Radomiak Radom,D
2021/2022,03/04/2022,14:00,Jagiellonia,Zaglebie,H
2021/2022,03/04/2022,16:30,Wisla,Piast Gliwice,D
2021/2022,04/04/2022,17:00,Wisla Plock,Gornik Z.,H
2021/2022,08/04/2022,17:00,Zaglebie,Stal Mielec,H
2021/2022,08/04/2022,19:30,Pogon Szczecin,Wisla Plock,A
2021/2022,09/04/2022,14:00,Piast Gliwice,Leczna,H
2021/2022,09/04/2022,16:30,Lech Poznan,Legia,D
2021/2022,09/04/2022,19:00,Lechia Gdansk,Termalica B-B.,H
2021/2022,10/04/2022,11:30,Warta Poznan,Cracovia,H
2021/2022,10/04/2022,14:00,Wisla,Gornik Z.,H
2021/2022,10/04/2022,16:30,Rakow,Slask Wroclaw,D
2021/2022,11/04/2022,17:00,Radomiak Radom,Jagiellonia,D
2021/2022,16/04/2022,11:30,Leczna,Radomiak Radom,H
2021/2022,16/04/2022,11:30,Stal Mielec,Warta Poznan,A
2021/2022,16/04/2022,14:00,Termalica B-B.,Rakow,A
2021/2022,16/04/2022,16:30,Jagiellonia,Pogon Szczecin,A
2021/2022,16/04/2022,19:00,Wisla Plock,Lech Poznan,A
2021/2022,18/04/2022,11:30,Cracovia,Zaglebie,H
